Package Name;Review Text
br.gov.dataprev.carteiradigital;"Para ficar ruim, ainda falta muito! Limitado por demais. Desenvolvedores, vamos trabalhar? Porque isso aí, está uma vergonha. Chega! Dessa _estória_ de ""lamentamos..."" Faça uma coisa que preste! Não dá conta, pede a conta."
br.gov.dataprev.carteiradigital;Só na décima vez deu certo, no começo ficava falando para retornar mais tarde e descobri que uma empresa que trabalhei roubou 4 meses de INSS ou seja não mandou para a previdência!
br.gov.dataprev.carteiradigital;
br.gov.dataprev.carteiradigital;
br.gov.dataprev.carteiradigital;
br.gov.dataprev.carteiradigital;Nunca tive divergência cadastral , esses app de governo tudo porcaria
br.gov.dataprev.carteiradigital;A maioria aqui já disse que o app não presta. Mas o que eles fazem? Dao uma resposta ou outra automática e tudo bem. Resolvido pra eles. AVISO: Isto não presta. Não percam seu tempo.
br.gov.dataprev.carteiradigital;Fui fazer o cadastro coloquei meu CPF fui informado que o meu CPF está incorreto pedindo para eu entrar em contato com a Previdência Social meu CPF está correto não tem nada de errado com ele
br.gov.dataprev.carteiradigital;App não permite logar. Da erro. Já gerei minha senha e o app não consegue logar no cidadão.br
br.gov.dataprev.carteiradigital;Aplicativo PÉSSIMO, NÃO.INSTALE é perda de tempo, já no cadastro dificulta o acesso, mal atendimento no suporte. Se pudesse dava 0 estrela.
br.gov.dataprev.carteiradigital;Não vejo como bom aplicativo, se fosse igual ao do e-título de eleitor seria melhor
br.gov.dataprev.carteiradigital;Um lixo de aplicativo! A gente tenta fazer a porcaria do cadastro e não consegue, uma verdadeira porcaria. Melhor voltar com os antigos agendamentos, porque esse aplicativo aqui não ajudou em nada, muito pelo contrário fez foi dificultar uma coisa que é tão simples e que eles podiam continuar fazendo na hora. Péssimoooooooo! Não consigo se jeito nenhum fazer o agendamento da carteira de trabalho.
br.gov.dataprev.carteiradigital;Desinstalei pelo fato que me mandou para o site da receita federal sendo que meu CPF tá ok
br.gov.dataprev.carteiradigital;"O App é só um link para uma página web. Mais fácil criar um atalho. Depois de todo o cadastro, no primeiro acesso deu um ""erro inesperado cod 500"""
br.gov.dataprev.carteiradigital;Já consegui realizar o cadastro, mas só consegui pelo PC.
br.gov.dataprev.carteiradigital;Tomare q esse APP de pra agenda 1 via se de dou 5 estrelas
br.gov.dataprev.carteiradigital;Muito ruim esse app. Não consegui cadastra minha nova senha toda vez que tentava cadastrar a senha aparecia a diabolica msg falando que minha senha não atende os padrões de segurança do app, o app era pra ser um meio mais rapido de informações mais to vendo que e melhor anda com minha ctps no bolso. Muito ruim esse app não indicado pra ninguém baixar...
br.gov.dataprev.carteiradigital;Uma droga só faz você perder tempo.
br.gov.dataprev.carteiradigital;Estava dizendo q os dados estavam errados e depois de muitas tentativas descobri q no cadastro do governo o sobrenome de minha mãe estava apenas a letra inicial. Agora está funcionando tudo perfeitamente.
br.gov.dataprev.carteiradigital;Consegui me cadastrar sem problemas. As perguntas feitas são para confirmar a sua identidade. Ótimo aplicativo, constam minhas contribuições como empregado e como facultativo.
br.gov.dataprev.carteiradigital;APP bem simples de se usar, muito bom para quem não costuma ter muito zelo com documentação, uma fonte de informação de empresas por onde o trabalhador passou.
br.gov.dataprev.carteiradigital;O que esperar de um app do governo? Não há suporte on line, perguntas ridiculas, como sempre nota zero pra essas empresas (dataprev) de lixo. (EDITADO) sobre a falha encontrada.... Alem de serem feitas perguntas ridiculas sobre quando e onde eu trabalhei em 1990, há depois das verificações que os dados não conferem, te mandam uma senha provisoria que tambem não funciona. A confirmação de dados de segurança bem que podia ser o basico correto? Cpf, RG e tals. Agora colocar muita coisa inutil é ruim!
br.gov.dataprev.carteiradigital;Não baixem esse lixo o aplicativo parece um servidor público faz de tudo pra complicar no cadastro obrigando vc a desistir
br.gov.dataprev.carteiradigital;
br.gov.dataprev.carteiradigital;Horrível! Não consegue nem criar uma senha.
br.gov.dataprev.carteiradigital;Propaganda enganosa uma vergonha
br.gov.dataprev.carteiradigital;"Não consigo cadastrar de forma alguma, sempre aparece ""Erro, desculpe a demora. Por favor, tente novamente mais tarde""."
br.gov.dataprev.carteiradigital;
br.gov.dataprev.carteiradigital;Armadilha Aplicativo desenvolvido por analfabetos. Não funciona. Não use.
br.gov.dataprev.carteiradigital;Isso não é aplicativo, é um atalho para o site, até criança faz melhor.
br.gov.dataprev.carteiradigital;Boa manhã parabéns o dinheiro
br.gov.dataprev.carteiradigital;O app pede para cadastrar uma nova senha, mas seguindo o procedimento pedido foi impossível realizar o mesmo...
br.gov.dataprev.carteiradigital;Péssimo
br.gov.dataprev.carteiradigital;O app me ajudou a conseguir o numero da minha carteira que perdi porem nao consigo agendar a segunda via. Passo por todas as etapas quando é pra concluir dar falha
br.gov.dataprev.carteiradigital;Razoável
br.gov.dataprev.carteiradigital;Mais rapido
br.gov.dataprev.carteiradigital;Na hora de cadastrar, coloquei todos meus dados e apareceu um número de ctps diferente da minha e outro pis. Como faço pra consertar isso
br.gov.dataprev.carteiradigital;Tentei fazer o cadastro e fica dando que consta divergência em.meu cadastro e pede para ligar no 135, aí a gente liga e aqueles pessoas super bem treinadas não sabe nem que existe CTPS Digital, ou seja, não te ajudam em nada, queria saber o que posso fazer?
br.gov.dataprev.carteiradigital;O único do app governo temer que funciona mais ou menos pra mim toh conseguindo usa ate entao. Muito bom apareceu ate quando eu servi o exército . Mais tem alguns registro que estão como atual na parte de período trabalhado mostra o dia que voce entro e apareceu serviço atual arrumem isso
br.gov.dataprev.carteiradigital;Espetáculo tive acesso a informação que nem imaginava, perfeito parabéns.
br.gov.dataprev.carteiradigital;""" Honestamente, eu não sei o que os atendentes das agências do SINE/MTE fazem diante das interfaces de sua ferramenta laboral, pois reiteram a cada consulta presencial ratificação de informações, as quais seguem equivocadas. A app CTPS Digital é uma corroboração disso : mesmo instruindo as informações com comprovação documental, persistem as informações com denotado erro. Eu já cansei, DATAPREV! """
br.gov.dataprev.carteiradigital;Dados apresentados são incompletos.
br.gov.dataprev.carteiradigital;Cadastro não completa. Piada
br.gov.dataprev.carteiradigital;Inútil. Sistema de autenticação inútil como quase tudo público. Por que é que não funciona com o número do PIS e tem que ficar complicando tanto com Tantas perguntas que acabam levando às divergências. Dataprev quer saber mais do que eu da minha vida sempre que eu estou com informações todas aqui na mão. Senha provisória por causa de divergência de informações. Ligar para 135 que manda ir em outro lugar procurar as informações. Um simples número de PIS e CPF já resolvia uma criação de senha. Ou seja, um serviço que era para agilizar a vida do Cidadão vai me fazer ter mais correria do que se eu tivesse ido simplesmente buscar em outro lugar a informação. Completamente inútil. Lamento o dinheiro público ser usado para coisas que não funcionam.
br.gov.dataprev.carteiradigital;Péssimo
br.gov.dataprev.carteiradigital;
br.gov.dataprev.carteiradigital;Nunca vi tanta dificuldade de cadastrar uma senha...
br.gov.dataprev.carteiradigital;Não vejo necessidade de istalar isso se não substituem a forma da carteira fisica
br.gov.dataprev.carteiradigital;Da erro na hora de realizar o cadastro, as informações inseridas estão todos corretas, e só retorna mensagem de erro!
br.gov.dataprev.carteiradigital;Não consegui utilizar. Tento realizar o cadastro, mas retorna erro dizendo que há divergências nos dados. Pede, meu nome, data de nascimento, CPF e nome da mãe. Não tem como errar.
br.gov.dataprev.carteiradigital;Não consigo cadastrar, diz que tem divergência nos dados que eu tenho certeza que estão corretos
br.gov.dataprev.carteiradigital;"A funcionalidade em si é muito boa a intenção é melhor ainda, porém o sistema de login é um saco te pede pra fazer uma senha absurdamente complicada pra um App que vc vai entrar 1 vez no mês, se esquece a senha blz ""esqueci minha senha"" pronto aí vem o problema, quase te pede um recadastro pra no fim te dar uma senha provisória que nem loga dizendo que não puderam te autenticar no momento... Senha complexa pra um App que só serve pra consulta? Meio desnecessário! Sem falar muito sobre um login que precisa abrir link né."
br.gov.dataprev.carteiradigital;
br.gov.dataprev.carteiradigital;Precisa melhorar muito. Os dados pessoais aparecem incompletos, as informações dos empregadores estão erradas também, além de não constar algumas. Mas levando em consideração que vem da Dataprev é um espanto ele ao menos funcionar!
br.gov.dataprev.carteiradigital;É uma bosta.
br.gov.dataprev.carteiradigital;Todos os dados foram inseridos corretamente e senha criada mas ao tentar logar informa erro.
br.gov.dataprev.carteiradigital;Q porcaria quem fez esta kaka
br.gov.dataprev.carteiradigital;Totalmente inútil, fiz o cadastro, segui todas instruções, mas não consigo nem mesmo trocar a senha fornecida no mesmo momento em que me cadastrei. Não recebi qualquer email de confirmação desse suposto cadastro, fica a dúvida, foi feito ou não?! As informações que forneci estão seguras?! Algum dia conseguirei acessar e concluir meu cadastro ou mesmo consultar minhas informações?! Acho um desrespeito colocar em funcionamento uma ferramenta que ainda não parece concluída em operação, não somos cobaia, não testamos.
br.gov.dataprev.carteiradigital;
br.gov.dataprev.carteiradigital;
br.gov.dataprev.carteiradigital;Ótimo consegui logar após entender a senha como o sistema exije show
br.gov.dataprev.carteiradigital;O aplicativo e otimo !!!!
br.gov.dataprev.carteiradigital;Cadastrei e não abre nada horrível.
br.gov.dataprev.carteiradigital;Péssimo aplicativo, insiro os dados corretamente para fazer o cadastro e apresenta erro de dados inválido.
br.gov.dataprev.carteiradigital;Consegui cadastrar me e obtive as informações corretas das empresas.
br.gov.dataprev.carteiradigital;Mesmo problema que outros estão tendo: divergências nos dados cadastrais...
br.gov.dataprev.carteiradigital;Ridículo! Me cadastrei, ele me dá uma senha provisória, tentei entrar com a senha e, diz que meus dados estão errados. E não consegui entrar.
br.gov.dataprev.carteiradigital;Em dezembro de 2017 tentei usar APP sem sucesso. Agora tentei usar novamente seguindo as instruções da resposta que me enviaram e nada feito. Como Consultor de Tecnologia, considero a ideia do APP sensacional, mas a usabilidade de cadastro inviabiliza seu uso.
br.gov.dataprev.carteiradigital;Putzzz, quase eu faço a instalação! Depois que vi os comentários, graças a Deus, desisti!!
br.gov.dataprev.carteiradigital;Nem sei se isso pode ser chamado de aplicativo, o mesmo é apenas um redirecionador de sites que serve como um link para o site cidadãobr. Ao cadastrar com dados prévios o acesso, o mesmo realmente envia várias perguntas sem sentido algum que servem mais pra confundir do que pra identificar o trabalhador, retirando o verdadeiro foco do serviço que é garantir o acesso a consulta de dados, para que o mesmo possa gerir sua vida profissional. Arrumem isso pelo menos para ser chamado de aplicativo, e coloquem perguntas voltadas para a vida profissional do trabalhador, não pegadinhas. Criem pelo menos campos que possam ser consultados, caso algum trabalhador apresente dúvidas com algumas perguntas, isso já ajudaria muito e diminuiria as reclamações no serviço. Fica a dica!
br.gov.dataprev.carteiradigital;
br.gov.dataprev.carteiradigital;Aparece a senha pra ser digitado, aí coloco CPF e senha e logo diz que não tenho cadastro mesmo após ter se cadastrado.
br.gov.dataprev.carteiradigital;Diz que há divergências nos dados cadastrados e que tem que ligar Como se vc colocou aquilo que te pede ele fala que está errado bom como se trata de governo já sabemos que não funciona este Brasil
br.gov.dataprev.carteiradigital;
br.gov.dataprev.carteiradigital;O erro está no app, os dados digitados estão corretos. CPF,data de nascimento, meu nome completo, nome da minha mãe, e estado.
br.gov.dataprev.carteiradigital;Como eu disse.... O cadastro deu tudo certo... Mas quando vou entrar no usuário ele entra em uma tela para alterar a senha....e mesmo alterando ele persiste em ficar nessa tela.
br.gov.dataprev.carteiradigital;Não abre. Redireciona para o site. E ainda aparece uma mensagem dizendo SUA CONEXÃO NÃO É PARTICULAR. INVASORES PODEM ESTAR TENTANDO ROUBAR SUAS INFORMAÇÕES...
br.gov.dataprev.carteiradigital;Direciona pra uma pagina se segurança ..todos os navegadores impedem o acesso
br.gov.dataprev.carteiradigital;Não consigo fazer login
br.gov.dataprev.carteiradigital;Não consigo redefinir a senha em qualquer dia da semana e horário
br.gov.dataprev.carteiradigital;Não funciona... Faz mil perguntas, solicita registro, pede confirmações e no final não conecta! Diz que o certificado expirou... Perda de tempo... Testem melhor o software antes de lançar!
br.gov.dataprev.carteiradigital;
br.gov.dataprev.carteiradigital;Toda vez que tento entrar aparece a mensagem 500 erro inesperado. Bora melhorar isso?
br.gov.dataprev.carteiradigital;Entra do site pra fazer a senha mas repete a mesma coisa pra saber se o cara não é robô e quando finalmente vc consegue finalizar, ele pede pra vc redefinir a senha, sendo que não queria redefinir nada ap3nas acessar a conta , muitos problemas
br.gov.dataprev.carteiradigital;Após confirmar os dados e gerar a senha, ao logar da erro de certificado https. Diz que expirou dia 14/02. ERR_CERT_DATE_INVALID
br.gov.dataprev.carteiradigital;Muito ruim não funciona,sempre erro,Não estalem...
br.gov.dataprev.carteiradigital;Não funciona. Fiz o cadastro, peguei a senha temporária, tentei alterar, mas só dá erro. Foi minha segunda tentativa com esse aplicativo. Desisti.
br.gov.dataprev.carteiradigital;Suspeito...
br.gov.dataprev.carteiradigital;Vi as informações dos comentários, fiquei com receios para usar. Mas fiz os procedimentos passo a passo e funcionou. Primeiro fiz o cadastro pelo pc, segundo troquei a senha e terceiro entrei no aplicativo ele abre uma janela do navegador para autenticar mas é preciso ir em configurações do navegador do celular e clicar em opções para computador ou Pc. Pronto todas as informações aparecerá corretamente. Funciona muito bem é preciso saber fazer.
br.gov.dataprev.carteiradigital;
br.gov.dataprev.carteiradigital;Nunca consegui utilizar nunca abre
br.gov.dataprev.carteiradigital;
br.gov.dataprev.carteiradigital;Erro ao cadastrar. Aparece 3a155026e9
br.gov.dataprev.carteiradigital;"Já tentei fazer o cadastro várias vezes. Sempre que tento entrar dá "" 500 sua requisição gerou um erro inesperado no sistema."
br.gov.dataprev.carteiradigital;Igual a todo serviço público... uma me.........
br.gov.dataprev.carteiradigital;Instalei, porém não consigo terminar o cadastro por conta do servidor. Excluindo... 😠
br.gov.dataprev.carteiradigital;
br.gov.dataprev.carteiradigital;Informa que não foi localizado meu CPF quando estou realizando o cadastro de acesso
br.gov.dataprev.carteiradigital;Não abre. Tentei várias vezes e não abre. Outra coisa, ele eh um link para uma página de internet. E não um aplicativo de verdade. Péssimo!!
br.gov.dataprev.carteiradigital;Está dando erro de certificado na autenticação no aplicativo. Péssimo!!
br.gov.dataprev.carteiradigital;Nao funciona e na verdade não é um app. Apenas faz redirecionamento para o site do cidadão.br. uma vez no site, falha depois que vc informa suas credenciais, devido a problemas com o certificado no navegador Chrome.
br.gov.dataprev.carteiradigital;
br.gov.dataprev.carteiradigital;
br.gov.dataprev.carteiradigital;Conforme esperado, um lixo. Nem encontrou o CPF no cadastro e falhou várias vezes o Captha de apenas um clique. Falta apenas refazer do zero por alguma empresa séria. Imagina se alguém que quer agilizar algo que já tem formato físico iria ter disponibilidade de ir numa agência para fazer um cadastro. Parece que ficam planejando como dificultar o máximo possível a vida do cidadão.
br.gov.dataprev.carteiradigital;Site com certificado inválido... Impossível prosseguir... Mais um aplicativo medíocre do governo... Povinho que só faz gambiarra...
br.gov.dataprev.carteiradigital;UM LIXO, só da erro de autenticação, não abre e esse App é apenas um atalho para o navegador, DESENVOLVEDORES FAVOR FAZER UM APP QUE FUNCIONE E QUE NAO SEJA APENAS UM ATALHO...
br.gov.dataprev.carteiradigital;
br.gov.dataprev.carteiradigital;Quando direciona para o site para cadastrar sempre disse que deu erro e não consigo me cadastrar, apenas cpf, nome, nome da mãe e estado onde nasceu. Como pode dar erro em tão poucos campos. Resolvam isso, quero muito usar esse app
br.gov.dataprev.carteiradigital;"Não consigo cadastrar ""inconsistência "" ""divergência "" blá blá blá .. como qualquer outro programa do governo é um saco burocrático q não se pode resolver nada sozinho, te obrigando a ir a uma agência perder tempo e se estressar"
br.gov.dataprev.carteiradigital;Péssimo
br.gov.dataprev.carteiradigital;Quase todo certo, só saldo do FGTS que não apareceu em nenhuma das empresas que já trabalhei aprece tudo com a informação de que não foi informado..
br.gov.dataprev.carteiradigital;
br.gov.dataprev.carteiradigital;Excelente app!
br.gov.dataprev.carteiradigital;
br.gov.dataprev.carteiradigital;Não estou conseguindo fazer meu cadastro no app...
br.gov.dataprev.carteiradigital;Show
br.gov.dataprev.carteiradigital;
br.gov.dataprev.carteiradigital;Não serve pra nada, faz cadastro perde tempo e nunca da certo, pura enganação.
br.gov.dataprev.carteiradigital;Uma bosta
br.gov.dataprev.carteiradigital;O app e uma verdadeira bosta..vc coloca tudo certo e ele da que tem algo errado..pode repetir varias veses que so da erro..isso que nao intendo se e pra fazer algo que nao funciona e melhor nao fazer..
br.gov.dataprev.carteiradigital;
br.gov.dataprev.carteiradigital;Cadastro ridiculo com perguntas que vc nem lembra. Agora entendo a nota de outros usuários.
br.gov.dataprev.carteiradigital;Atende as propostas
br.gov.dataprev.carteiradigital;Não consigo acessar, primeiro dia até usei como minha senha pessoal mas depois só dava erro de senha, tente refazer a senhora veio uma provisória que também não entraram,
br.gov.dataprev.carteiradigital;
br.gov.dataprev.carteiradigital;É ridículo. Para conseguir acesso é necessário fazer o cadastro que inicialmente seria nome, data de nascimento, CPF e estado de nascimento. Dá dados divergentes... Acho que esses dados eu conheço muito bem. Para criar meu usuário tenho que agendar uma data para ir até a previdência social... Estão loucos né? Só poderia ser um serviço público...
br.gov.dataprev.carteiradigital;
br.gov.dataprev.carteiradigital;Inútil. Tentei usar a opção de solicitar a segunda via pq tive a minha perdida, ai preechie os campos ate onde pede o BO, ate ai tudo bem mas depois pede o número do documento anterior, ai eu pergunto COMO VOU SABER O NÚMERO ANTERIOR SE TIVE MEU DOCUMENTO PERDIDO OU ROUBADO ?
br.gov.dataprev.carteiradigital;Não serve para nada ninguem consegue se cadastrar parece ser falso.
br.gov.dataprev.carteiradigital;Acessei site pra me cadastrar estava em acesso HTTPS mas não carregou.
br.gov.dataprev.carteiradigital;
br.gov.dataprev.carteiradigital;
br.gov.dataprev.carteiradigital;Gostei da ideia. Os dados pessoais na tela principal nao estão puxando a principio. Mas as experiências estao la
br.gov.dataprev.carteiradigital;Não acessa! Coisa simples, que é o preenchimento dos dados pessoais, apenas afirmam que eu estou preenchendo o CPF, MEU NOME, NOME DA MINHA MÃE E DATA DE NASCIMENTO, divergente do original.
br.gov.dataprev.carteiradigital;Por favor consertem esse problema de login do app. Só consegui acessar uma vez, quando tentei novamente não consegui mais. Esse app é excelente, só consertem isso logo.
br.gov.dataprev.carteiradigital;
br.gov.dataprev.carteiradigital;
br.gov.dataprev.carteiradigital;Nunca se consegue usar. Aparece sempre o erro: código de erro D7F42F8E5F.
br.gov.dataprev.carteiradigital;Está dizendo que meu CPF não está cadastrado na previdência social.
br.gov.dataprev.carteiradigital;Como conseguem fazer uma porcaria dessas? A começar pelo cadastro. Para inserir a data de nascimento tem que ficar voltando o ano de nascimento. Não dá. Péssimo.
br.gov.dataprev.carteiradigital;Simplesmente não funciona, não consigo fazer cadastro para ter acesso as opções do aplicativo.
br.gov.dataprev.carteiradigital;
